custid,retained,Days between creation and first order,Days since last order,esent,eopenrate,eclickrate,avgorder,ordfreq,paperless,refill,doorstep,favday,city,train,created,firstorder,lastorder,,,, 
6HMVXX,1,14,43,52,40.38461538,19.23076923,55.86,0.12195122,1,0,0,Friday,DCX,0,6/13/13,6/27/13,12/8/13,,,,
V2GQNM,1,0,216,33,15.15151515,6.060606061,106.94,0.033707865,0,0,0,Sunday,BWI,0,3/21/13,3/21/13,6/18/13,,,,
QDJ9M9,0,9,718,0,0,0,24.56,0.041407867,0,0,0,Thursday,RIC,0,9/28/10,10/7/10,2/2/12,,,,
TC53ZF,1,0,235,41,31.70731707,2.43902439,56.48,0,1,0,0,Friday,RIC,0,5/30/13,5/30/13,5/30/13,,,,
CYHL94,1,0,280,45,0,0,48.99,0,0,0,0,Tuesday,RIC,0,4/15/13,4/15/13,4/15/13,,,,
FG3QF8,1,215,112,36,0,0,89.75,0,0,0,0,Tuesday,DCX,0,2/27/13,9/30/13,9/30/13,,,,
KG54CB,1,46,106,32,75,6.25,80.02,0.028846154,0,0,0,Monday,CHO,0,1/28/11,3/15/11,10/6/13,,,,
M25UL9,1,7,265,45,0,0,81.27,0.031746032,0,0,0,Tuesday,RIC,0,2/19/13,2/26/13,4/30/13,,,,
DZHUXS,1,94,1,51,50.98039216,19.60784314,61.3,0.098958333,1,0,0,Tuesday,RIC,0,4/8/13,7/11/13,1/19/14,,,,
NKP5MG,1,0,306,44,9.090909091,0,37.61,0,0,0,0,Thursday,RIC,0,3/20/13,3/20/13,3/20/13,,,,
A95FRF,0,50,274,0,0,0,96.3,0,0,0,0,Friday,CHO,0,3/2/13,4/21/13,4/21/13,,,,
9SDH35,1,9,46,51,1.960784314,0,188.42,0.028571429,1,0,0,Friday,CHO,0,6/4/13,6/13/13,12/5/13,,,,
5PKUBZ,1,88,15,54,37.03703704,9.259259259,111.02,0.087912088,0,0,0,Friday,RIC,0,4/10/13,7/7/13,1/5/14,,,,
2ECFP7,1,0,472,29,79.31034483,0,158.5,0,0,0,0,Sunday,CHO,0,10/5/12,10/5/12,10/5/12,,,,
7JL8RT,1,16,253,45,4.444444444,4.444444444,81.03,0.00308642,0,0,0,Thursday,RIC,0,7/18/11,8/3/11,5/12/13,,,,
9GR3DE,1,4,68,41,60.97560976,9.756097561,90.19,0.007125891,0,0,0,Thursday,DCX,0,9/14/12,9/18/12,11/13/13,,,,
ZULSU7,1,48,184,45,11.11111111,0,39.98,0,1,0,0,Thursday,RIC,0,6/2/13,7/20/13,7/20/13,,,,
NBR5TY,1,-35,2,71,12.67605634,2.816901408,120.42,0.143646409,1,0,1,Monday,DCX,0,8/28/12,7/24/12,1/18/14,,,,
C6C8TF,1,1,50,48,33.33333333,2.083333333,56.26,0.032608696,1,1,0,Friday,RIC,0,5/25/11,5/26/11,12/1/13,,,,
UHEF44,0,0,229,0,0,0,26.37,0,1,0,0,Friday,CHO,0,6/5/13,6/5/13,6/5/13,,,,
DJXL4A,1,91,1,34,85.29411765,35.29411765,119.46,0.021144279,0,0,0,Monday,RIC,0,8/8/11,11/7/11,1/19/14,,,,
EAKQBC,1,0,305,22,90.90909091,0,15.53,0,0,0,0,Sunday,DCX,0,3/21/13,3/21/13,3/21/13,,,,
PKQAFB,1,1,153,47,14.89361702,8.510638298,51.43,0.058139535,1,0,0,Saturday,DCX,0,2/28/13,3/1/13,8/20/13,,,,
ACQWH9,1,56,32,51,7.843137255,3.921568627,194.14,0.0265625,0,0,0,Friday,CHO,0,4/23/10,6/18/10,12/19/13,,,,
3EQMAN,0,0,179,2,100,0,34.25,0.02917342,0,0,0,Friday,CHO,0,11/16/11,11/16/11,7/25/13,,,,
M3MLCX,1,3,224,47,4.255319149,0,46.93,0.01973001,1,0,0,Tuesday,RIC,0,10/18/10,10/21/10,6/10/13,,,,
NEYMUW,1,5,325,45,0,0,66.06,0,0,0,0,Wednesday,RIC,0,2/24/13,3/1/13,3/1/13,,,,
7VSFTS,1,0,453,47,0,0,102.27,0.0625,0,0,0,Wednesday,CHO,0,8/21/12,8/21/12,10/24/12,,,,
T9J3NA,1,48,197,44,6.818181818,2.272727273,39.65,0.095238095,1,0,0,Monday,CHO,0,4/29/13,6/16/13,7/7/13,,,,
V6ZSDE,1,-39,13,29,62.06896552,13.79310345,85.84,0.01119403,0,0,1,Sunday,DCX,0,8/28/12,7/20/12,1/7/14,,,,
VDBNNS,1,22,491,45,2.222222222,0,85.41,0,0,0,0,Wednesday,CHO,0,8/25/12,9/16/12,9/16/12,,,,
7GJC4R,1,157,839,39,38.46153846,7.692307692,98.06,0,0,0,0,Tuesday,CHO,0,4/30/11,10/4/11,10/4/11,,,,
DKYW2M,1,1,7,57,0,0,89.76,0.09375,0,0,0,Tuesday,RIC,0,3/30/13,3/31/13,1/13/14,,,,
,1,#N/A,#N/A,40,65,0,81,0,0,0,0,Thursday,DCX,0,#N/A,#N/A,#N/A,,,,
Z8B4F5,1,18,216,26,7.692307692,0,97.39,0,1,0,0,Monday,RIC,0,5/31/13,6/18/13,6/18/13,,,,
D3BD4J,1,769,282,45,2.222222222,0,96.46,0,0,0,0,Tuesday,RIC,0,3/6/11,4/13/13,4/13/13,,,,
HCV9PM,1,18,217,45,0,0,18.91,0.25,1,0,0,Tuesday,RIC,0,5/22/13,6/9/13,6/17/13,,,,
NDX56U,1,1,92,43,53.48837209,0,174.65,0.012594458,0,0,0,Wednesday,CHO,0,9/17/12,9/18/12,10/20/13,,,,
C4QE3E,1,41,269,48,0,0,78.37,0.022123894,0,0,0,Monday,RIC,0,8/2/12,9/12/12,4/26/13,,,,
JL5T4S,1,8,267,37,51.35135135,0,57.87,0,0,0,0,Tuesday,RIC,0,4/20/13,4/28/13,4/28/13,,,,
9NT57P,0,0,340,0,0,0,100.55,0,1,0,0,Tuesday,DCX,0,2/14/13,2/14/13,2/14/13,,,,
9TZKEU,1,37,202,38,0,0,59.72,0.014760148,1,0,0,Sunday,DCX,0,8/28/12,10/4/12,7/2/13,,,,
Q7S6U8,1,1,476,44,2.272727273,2.272727273,18.96,0,0,0,0,Tuesday,RIC,0,9/30/12,10/1/12,10/1/12,,,,
DM73Q2,1,0,36,48,41.66666667,22.91666667,102.43,0.025695931,0,0,0,Tuesday,RIC,0,9/4/12,9/4/12,12/15/13,,,,
KB8SR6,1,13,5,42,88.0952381,4.761904762,65.97,0.068292683,1,1,0,Thursday,RIC,0,6/11/13,6/24/13,1/15/14,,,,
WL78QX,0,3,217,5,80,0,100.08,0,1,0,0,Thursday,BWI,0,6/14/13,6/17/13,6/17/13,,,,
3WQNSH,1,-28,1,67,29.85074627,5.970149254,59.97,0.076350093,1,1,1,Monday,DCX,0,8/28/12,7/31/12,1/19/14,,,,
LTDJNR,1,0,118,45,11.11111111,4.444444444,27.02,0.021582734,0,0,0,Friday,DCX,0,5/8/13,5/8/13,9/24/13,,,,
9E4QC4,0,0,215,0,0,0,51.02,0,1,0,0,Monday,CHO,0,6/19/13,6/19/13,6/19/13,,,,
V38ZLX,0,17,770,0,0,0,127.38,0.033962264,1,0,0,Monday,CHO,0,3/5/11,3/22/11,12/12/11,,,,
YMM65P,1,153,91,31,45.16129032,0,128.59,0.166666667,0,0,0,Thursday,RIC,0,5/9/13,10/9/13,10/21/13,,,,
6YW9XV,1,12,102,40,42.5,17.5,132.54,0.016806723,1,0,0,Saturday,BWI,0,6/1/13,6/13/13,10/10/13,,,,
SPTS5P,1,31,120,33,81.81818182,0,39.38,0.022058824,0,0,0,Monday,CHO,0,4/8/13,5/9/13,9/22/13,,,,
7ADBQC,1,128,309,45,0,0,124.87,0,0,0,0,Tuesday,RIC,0,11/9/12,3/17/13,3/17/13,,,,
FWE639,1,61,295,37,54.05405405,0,58.6,0,0,0,0,Wednesday,CHO,0,1/29/13,3/31/13,3/31/13,,,,
TU9HT8,1,7,1,54,11.11111111,3.703703704,161.19,0.099415205,1,0,0,Wednesday,CHO,0,8/17/12,8/24/12,1/19/14,,,,
3BGF8J,0,1,238,0,0,0,73.48,0.034328358,1,0,0,Wednesday,CHO,0,7/26/11,7/27/11,5/27/13,,,,
SJ288R,0,4,250,0,0,0,57.49,0,0,0,0,Thursday,RIC,0,5/11/13,5/15/13,5/15/13,,,,
YFHP3R,1,19,211,45,20,13.33333333,92.74,0,1,0,0,Thursday,DCX,0,6/4/13,6/23/13,6/23/13,,,,
348TWZ,1,0,225,39,61.53846154,0,72.03,0,1,0,0,Monday,CHO,0,6/9/13,6/9/13,6/9/13,,,,
VPDSEN,1,0,243,40,35,2.5,21.25,0.048780488,0,0,0,Saturday,DCX,0,4/11/13,4/11/13,5/22/13,,,,
REHNN6,1,1,14,48,47.91666667,18.75,201.13,0.026239067,0,0,0,Thursday,RIC,0,1/27/13,1/28/13,1/6/14,,,,
5WH8LZ,1,209,1323,44,2.272727273,2.272727273,26.11,0,0,0,0,Friday,CHO,0,11/10/09,6/7/10,6/7/10,,,,
W86ALV,1,16,13,35,85.71428571,31.42857143,103.62,0.043659044,0,0,0,Sunday,BWI,0,8/28/12,9/13/12,1/7/14,,,,
N9NWUP,1,8,4,50,30,10,54.29,0.012396694,0,0,0,Friday,CHO,0,5/16/11,5/24/11,1/16/14,,,,
VAL8KQ,1,23,222,41,29.26829268,0,57.17,0.029268293,0,0,0,Monday,RIC,0,10/27/12,11/19/12,6/12/13,,,,
PC5HDT,1,2,145,45,17.77777778,6.666666667,54.17,0.054945055,1,0,0,Thursday,DCX,0,5/27/13,5/29/13,8/28/13,,,,
788EZ9,1,0,308,45,0,0,112.55,0,0,0,0,Tuesday,CHO,0,3/18/13,3/18/13,3/18/13,,,,
M9XX7K,1,16,642,45,0,0,109.12,0.071428571,0,0,0,Thursday,RIC,0,3/5/12,3/21/12,4/18/12,,,,
8Y2R27,1,17,425,46,2.173913043,0,125.39,0.017621145,0,0,0,Thursday,RIC,0,8/8/11,8/25/11,11/21/12,,,,
SNXQUF,1,1,340,41,58.53658537,4.87804878,91.5,0.010948905,0,0,0,Thursday,RIC,0,5/15/12,5/16/12,2/14/13,,,,
KT6QBC,1,1,12,48,37.5,10.41666667,59.84,0.038095238,1,0,0,Thursday,CHO,0,6/11/13,6/12/13,1/8/14,,,,
XU98GT,1,181,329,46,6.52173913,0,37.05,0,0,0,0,Wednesday,DCX,0,8/28/12,2/25/13,2/25/13,,,,
Q2JLL6,0,0,1385,0,0,0,7.97,0,0,0,0,Thursday,CHO,0,4/6/10,4/6/10,4/6/10,,,,
FEQUMZ,1,0,266,45,0,0,78.63,0,0,0,0,Wednesday,CHO,0,4/29/13,4/29/13,4/29/13,,,,
2468QM,1,0,292,48,2.083333333,0,92.28,0.030456853,1,0,0,Thursday,DCX,0,9/18/12,9/18/12,4/3/13,,,,
M3GDQX,1,0,363,45,0,0,52.31,0,0,0,0,Tuesday,RIC,0,1/22/13,1/22/13,1/22/13,,,,
XSWQRX,1,7,75,50,10,2,66.61,0.011248594,0,0,0,Wednesday,CHO,0,5/25/11,6/1/11,11/6/13,,,,
7S39TD,0,3,8,6,0,0,64.3,0.064850843,0,0,0,Monday,CHO,0,11/30/11,12/3/11,1/12/14,,,,
37VRLV,1,580,1,50,52,16,114.45,0.12195122,1,0,0,Tuesday,RIC,0,5/8/12,12/9/13,1/19/14,,,,
H6FUTU,1,67,341,45,0,0,63.58,0.014925373,0,0,0,Wednesday,RIC,0,7/27/12,10/2/12,2/13/13,,,,
72K4KR,1,0,218,32,96.875,3.125,72.09,0.106382979,1,0,0,Monday,DCX,0,4/30/13,4/30/13,6/16/13,,,,
7V8DAQ,1,5,235,47,8.510638298,0,109.51,0.0784,1,0,0,Monday,RIC,0,9/8/11,9/13/11,5/30/13,,,,
WAFDQ7,1,0,7,43,27.90697674,2.325581395,146.66,0.013513514,1,0,0,Thursday,CHO,0,6/5/13,6/5/13,1/13/14,,,,
Q65FAU,1,14,81,40,55,2.5,39.02,0.061538462,1,0,0,Saturday,DCX,0,6/9/13,6/23/13,10/31/13,,,,
MTBV8V,0,1,333,0,0,0,112.28,0.068965517,1,0,0,Wednesday,RIC,0,1/22/13,1/23/13,2/21/13,,,,
3DBSWL,1,0,151,45,2.222222222,2.222222222,54.37,0.035714286,1,0,0,Friday,RIC,0,6/27/13,6/27/13,8/22/13,,,,
UVE3EF,1,0,216,39,48.71794872,2.564102564,52.48,0,1,0,0,Thursday,DCX,0,6/18/13,6/18/13,6/18/13,,,,
7DSEH9,1,205,35,42,95.23809524,16.66666667,69.48,0.097633136,0,0,0,Tuesday,CHO,0,8/15/10,3/8/11,12/16/13,,,,
TG9MJN,1,99,57,54,20.37037037,0,72.68,0.020408163,0,0,0,Monday,RIC,0,10/27/12,2/3/13,11/24/13,,,,
BLVL5W,1,1,112,48,4.166666667,2.083333333,53.87,0.025,1,0,0,Thursday,BWI,0,6/1/13,6/2/13,9/30/13,,,,
6XHJNM,1,20,223,46,23.91304348,0,53.64,0.142857143,0,0,0,Wednesday,RIC,0,4/17/13,5/7/13,6/11/13,,,,
V6L54C,1,63,235,46,21.73913043,4.347826087,90.63,0.126984127,0,0,0,Friday,RIC,0,1/24/13,3/28/13,5/30/13,,,,
2JGW4F,0,0,422,0,0,0,53.72,0,0,0,0,Wednesday,DCX,0,11/24/12,11/24/12,11/24/12,,,,
VNRPWK,1,875,13,41,60.97560976,36.58536585,68.83,0.045138889,0,0,0,Wednesday,RIC,0,11/1/10,3/25/13,1/7/14,,,,
59JYE5,1,3,235,44,2.272727273,0,92.76,0,1,0,0,Friday,RIC,0,5/27/13,5/30/13,5/30/13,,,,
H46XQU,1,2,215,48,4.166666667,0,80.31,0.285714286,1,1,0,Thursday,BWI,0,6/10/13,6/12/13,6/19/13,,,,
6KNN5F,1,412,14,51,52.94117647,13.7254902,167.87,0.061538462,0,0,0,Tuesday,RIC,0,12/6/10,1/22/12,1/6/14,,,,
2ZDZMF,0,201,242,8,25,0,40,0,0,0,0,Friday,DCX,0,11/3/12,5/23/13,5/23/13,,,,
KLHZ7J,1,0,252,37,59.45945946,0,50.03,0,0,0,0,Tuesday,DCX,0,5/13/13,5/13/13,5/13/13,,,,
SDZ53K,1,2,1,41,75.6097561,4.87804878,77.5,0.082677165,0,0,1,Saturday,BWI,0,5/8/13,5/10/13,1/19/14,,,,
6UXMSZ,1,0,838,43,23.25581395,0,53.98,0.051282051,1,0,0,Tuesday,RIC,0,8/27/11,8/27/11,10/5/11,,,,
GX4FFS,1,0,330,46,2.173913043,2.173913043,19.17,0.010544815,0,0,0,Monday,CHO,0,8/5/11,8/5/11,2/24/13,,,,
X5U7V6,1,21,7,52,28.84615385,15.38461538,110.12,0.034715526,0,0,1,Monday,RIC,0,2/20/11,3/13/11,1/13/14,,,,
5995VR,1,4,208,43,11.62790698,4.651162791,4.05,0,1,0,0,Thursday,RIC,0,6/22/13,6/26/13,6/26/13,,,,
Y3BJXM,1,0,300,45,0,0,52.05,0,0,0,0,Thursday,CHO,0,3/26/13,3/26/13,3/26/13,,,,
58UKQ7,1,923,167,44,18.18181818,0,54.31,0.064102564,0,0,0,Tuesday,CHO,0,8/23/10,3/3/13,8/6/13,,,,
VNSTQZ,1,0,363,45,0,0,67.28,0.024691358,0,0,0,Monday,RIC,0,11/2/12,11/2/12,1/22/13,,,,
MSZKVK,0,0,358,0,0,0,16.39,0,0,0,0,Thursday,RIC,0,1/27/13,1/27/13,1/27/13,,,,
TYQ5JB,1,0,98,41,63.41463415,12.19512195,59.86,0.016990291,1,0,0,Thursday,DCX,0,8/28/12,8/28/12,10/14/13,,,,
BHHDFH,1,0,793,45,6.666666667,2.222222222,76.88,0,0,0,0,Tuesday,RIC,0,11/19/11,11/19/11,11/19/11,,,,
WH8GUW,1,0,317,45,0,0,74.44,0,1,0,0,Wednesday,DCX,0,3/9/13,3/9/13,3/9/13,,,,
AW4666,1,104,444,46,0,0,51.6,0.043824701,0,0,0,Wednesday,CHO,0,3/7/11,6/19/11,11/2/12,,,,
CH2W94,1,734,75,47,12.76595745,4.255319149,62.17,0.024630542,1,0,0,Thursday,CHO,0,9/23/10,9/26/12,11/6/13,,,,
RULJ4T,0,17,798,44,2.272727273,0,46.08,0.02994012,0,0,0,Friday,RIC,0,5/14/11,5/31/11,11/14/11,,,,
NFPLWF,0,15,46,0,0,0,77.23,0.009060956,0,1,0,Friday,RIC,0,7/25/10,8/9/10,12/5/13,,,,
PVRB8U,1,0,1736,47,6.382978723,4.255319149,80.55,0.033980583,0,0,0,Tuesday,CHO,0,9/26/08,9/26/08,4/20/09,,,,
K2HMQP,1,11,972,45,37.77777778,8.888888889,67.98,0,0,0,0,Wednesday,RIC,0,5/13/11,5/24/11,5/24/11,,,,
UQ85PD,0,17,393,0,0,0,87.07,0,1,0,0,Thursday,DCX,0,12/6/12,12/23/12,12/23/12,,,,
BRDMP5,1,132,148,29,37.93103448,13.79310345,72.04,0,0,0,0,Monday,CHO,0,4/15/13,8/25/13,8/25/13,,,,
4X2C2X,1,11,286,44,4.545454545,0,29.48,0,0,0,0,Tuesday,RIC,0,3/29/13,4/9/13,4/9/13,,,,
8WC2Y9,1,13,157,47,0,0,43.38,0.067842605,0,0,0,Thursday,RIC,0,7/28/11,8/10/11,8/16/13,,,,
MTRZ6X,0,49,315,22,27.27272727,0,62.44,0,0,0,0,Saturday,DCX,0,1/21/13,3/11/13,3/11/13,,,,
PCSVUP,1,0,75,54,5.555555556,0,75.97,0.089552239,0,1,0,Thursday,CHO,0,5/19/12,5/19/12,11/6/13,,,,
K99FVZ,1,0,699,44,13.63636364,2.272727273,61.41,0.024539877,0,0,0,Monday,CHO,0,9/11/11,9/11/11,2/21/12,,,,
QDSRP6,0,0,528,0,0,0,50.47,0.056818182,1,0,0,Tuesday,RIC,0,2/16/12,2/16/12,8/10/12,,,,
BZXSNY,1,0,427,38,63.15789474,5.263157895,93.07,0.008421053,0,0,0,Wednesday,RIC,0,8/2/11,8/2/11,11/19/12,,,,
HCWNHG,1,8,99,46,26.08695652,4.347826087,32.62,0.007112376,0,0,0,Friday,RIC,0,11/2/11,11/10/11,10/13/13,,,,
2LKXP4,1,-39,549,36,0,0,33.32,0,0,0,0,Sunday,BWI,0,8/28/12,7/20/12,7/20/12,,,,
UJKXU8,0,0,454,0,0,0,78.41,0.011204482,1,0,0,Wednesday,CHO,0,11/1/11,11/1/11,10/23/12,,,,
YET9XK,1,0,0,49,16.32653061,2.040816327,98.89,0.011227545,0,0,0,Monday,CHO,0,5/25/10,5/25/10,1/20/14,,,,
GXR8BC,1,238,3,36,8.333333333,0,40.02,0,1,1,0,Wednesday,RIC,0,5/24/13,1/17/14,1/17/14,,,,
RP4Z4K,1,0,319,48,0,0,131.48,0.090128755,0,0,0,Friday,CHO,0,7/17/12,7/17/12,3/7/13,,,,
8M5UYA,0,8,137,0,0,0,31.25,0.148148148,0,0,0,Friday,RIC,0,4/15/13,4/23/13,9/5/13,,,,
RAEHAT,1,63,0,53,45.28301887,7.547169811,155.11,0.070048309,1,0,0,Tuesday,DCX,0,9/30/12,12/2/12,1/20/14,,,,
U2EGCC,0,4,348,0,0,0,88.95,0,0,0,0,Thursday,RIC,0,2/2/13,2/6/13,2/6/13,,,,
UJ2K6H,1,93,112,34,11.76470588,2.941176471,79.49,0.105263158,1,0,0,Thursday,CHO,0,6/10/13,9/11/13,9/30/13,,,,
MX2WJL,0,45,157,23,21.73913043,8.695652174,47.81,0.064516129,0,0,0,Thursday,BWI,0,6/1/13,7/16/13,8/16/13,,,,
YGLQAA,1,7,261,49,2.040816327,0,48,0,0,0,0,Saturday,BWI,0,4/27/13,5/4/13,5/4/13,,,,
EKK7P3,1,0,622,34,64.70588235,44.11764706,50.09,0.017142857,1,0,0,Monday,RIC,0,11/15/11,11/15/11,5/8/12,,,,
USZ9AC,1,89,103,48,0,0,67.95,0.043478261,0,0,0,Wednesday,CHO,0,1/27/11,4/26/11,10/9/13,,,,
YNHSJU,0,33,281,0,0,0,85.1,0.011658031,0,0,0,Wednesday,CHO,0,1/30/11,3/4/11,4/14/13,,,,
P5KN2P,1,14,217,45,0,0,94.61,0,1,0,0,Tuesday,RIC,0,6/3/13,6/17/13,6/17/13,,,,
A64T24,1,236,13,51,33.33333333,21.56862745,94.76,0.081135903,1,0,0,Thursday,CHO,0,9/3/10,4/27/11,1/7/14,,,,
SEBQHR,1,27,13,44,90.90909091,4.545454545,115.64,0.030864198,0,0,0,Tuesday,BWI,0,1/21/13,2/17/13,1/7/14,,,,
PHERDS,1,1,267,45,2.222222222,0,37.71,0.071428571,0,0,0,Friday,RIC,0,3/16/13,3/17/13,4/28/13,,,,
G5KUSU,0,558,378,4,75,50,63.57,0.238183503,1,0,0,Tuesday,DCX,0,7/15/08,1/24/10,1/7/13,,,,
YZAJXM,1,0,127,41,48.7804878,2.43902439,136.5,0.017006803,0,0,0,Tuesday,RIC,0,11/25/12,11/25/12,9/15/13,,,,
4TSL3A,1,22,74,48,10.41666667,0,92.07,0.041044776,1,0,0,Friday,CHO,0,11/9/10,12/1/10,11/7/13,,,,
VFXKBW,1,28,222,48,0,0,52.67,0.013736264,0,0,0,Friday,CHO,0,5/16/12,6/13/12,6/12/13,,,,
RKFVG6,1,12,366,46,8.695652174,0,30,0.068965517,1,0,0,Saturday,DCX,0,12/9/12,12/21/12,1/19/13,,,,
VTUYRF,1,0,1319,43,13.95348837,0,94.45,0.008928571,0,0,0,Friday,CHO,0,7/10/09,7/10/09,6/11/10,,,,
G4J2CZ,1,2,7,47,82.9787234,4.255319149,50.14,0.088372093,1,0,0,Thursday,CHO,0,6/10/13,6/12/13,1/13/14,,,,
393Q4S,1,182,328,32,25,15.625,64.54,0,0,0,0,Sunday,DCX,0,8/28/12,2/26/13,2/26/13,,,,
9GJHCR,1,618,7,56,25,3.571428571,83.54,0.139473684,1,0,1,Tuesday,RIC,0,4/21/11,12/29/12,1/13/14,,,,
U5AMWE,0,77,376,0,0,0,53.62,0.087719298,1,0,0,Saturday,BWI,0,8/28/12,11/13/12,1/9/13,,,,
RD8ZNV,1,44,40,53,5.660377358,0,75.39,0.058823529,0,0,0,Thursday,CHO,0,4/7/13,5/21/13,12/11/13,,,,
ZLBL6R,1,48,363,34,5.882352941,2.941176471,122.38,0,0,0,0,Sunday,DCX,0,12/5/12,1/22/13,1/22/13,,,,
Y4EMUN,0,51,363,0,0,0,58.55,0.017565872,0,0,0,Thursday,RIC,0,9/27/10,11/17/10,1/22/13,,,,
WEW9KV,0,0,275,13,7.692307692,0,54.52,0,0,0,0,Thursday,DCX,0,4/20/13,4/20/13,4/20/13,,,,
7J3QFY,0,5,382,0,0,0,198.59,0,0,0,0,Friday,CHO,0,12/29/12,1/3/13,1/3/13,,,,
V422SX,1,14,139,35,97.14285714,2.857142857,56.19,0.071428571,0,0,0,Wednesday,CHO,0,3/19/13,4/2/13,9/3/13,,,,
62F3G8,1,0,287,40,27.5,7.5,85.28,0,0,0,0,Wednesday,RIC,0,4/8/13,4/8/13,4/8/13,,,,
DZ9WT4,1,0,459,45,0,0,83.15,0,0,0,0,Monday,CHO,0,10/18/12,10/18/12,10/18/12,,,,
55C9M8,1,120,969,43,6.976744186,6.976744186,57.13,0,0,0,0,Monday,CHO,0,1/27/11,5/27/11,5/27/11,,,,
9ET6D7,0,213,201,0,0,0,46.33,0.020833333,1,0,0,Tuesday,DCX,0,8/28/12,3/29/13,7/3/13,,,,
KD8R2V,1,14,210,46,17.39130435,8.695652174,102.68,0,1,0,0,Thursday,BWI,0,6/10/13,6/24/13,6/24/13,,,,
WCVCG2,1,22,606,45,2.222222222,0,39.41,0.012875536,0,0,0,Monday,RIC,0,9/12/11,10/4/11,5/24/12,,,,
PTTN74,1,14,217,37,67.56756757,0,90.54,0,1,0,0,Saturday,BWI,0,6/3/13,6/17/13,6/17/13,,,,
M9HBMS,1,1,12,44,2.272727273,2.272727273,61.27,0.008928571,0,0,0,Saturday,DCX,0,10/16/12,10/17/12,1/8/14,,,,
KK45JJ,0,45,188,1,100,0,30.51,0,1,0,0,Thursday,RIC,0,6/1/13,7/16/13,7/16/13,,,,
N5CV54,1,21,132,45,24.44444444,4.444444444,79.65,0.055555556,0,0,0,Wednesday,RIC,0,5/4/13,5/25/13,9/10/13,,,,
VPW9JY,1,2,221,46,13.04347826,8.695652174,52.64,0.01147541,0,0,0,Monday,CHO,0,10/10/11,10/12/11,6/13/13,,,,
ND8NPC,0,71,211,1,100,0,92.2,0,0,0,0,Monday,CHO,0,4/13/13,6/23/13,6/23/13,,,,
6EPY83,1,67,658,45,11.11111111,0,12.43,0,0,0,0,Friday,RIC,0,1/26/12,4/2/12,4/2/12,,,,
XSMWGD,1,0,445,46,6.52173913,2.173913043,68.32,0.022857143,0,0,0,Wednesday,RIC,0,11/17/11,11/17/11,11/1/12,,,,
YA5NKY,1,24,235,28,17.85714286,0,47.49,0.285714286,0,0,0,Friday,DCX,0,4/29/13,5/23/13,5/30/13,,,,
SSBDQE,1,131,75,51,15.68627451,1.960784314,99.45,0.005249344,1,0,0,Friday,CHO,0,5/12/10,9/20/10,11/6/13,,,,
7KJML2,1,609,355,46,2.173913043,0,104.39,0.036988111,1,0,0,Wednesday,CHO,0,5/5/09,1/4/11,1/30/13,,,,
CR8NJF,1,1,36,46,28.26086957,0,74.48,0.044711014,1,0,0,Friday,CHO,0,6/11/11,6/12/11,12/15/13,,,,
L7NMJL,1,11,220,45,0,0,100.25,0,1,0,0,Tuesday,DCX,0,6/3/13,6/14/13,6/14/13,,,,
QWYA2K,1,0,312,44,9.090909091,2.272727273,58.36,0.003236246,0,0,0,Wednesday,CHO,0,7/5/11,7/5/11,3/14/13,,,,
47GSG5,0,0,328,0,0,0,54.61,0,0,0,0,Sunday,DCX,0,2/26/13,2/26/13,2/26/13,,,,
T6MRJQ,1,2,149,48,10.41666667,4.166666667,88.55,0.005291005,0,0,0,Monday,RIC,0,7/28/11,7/30/11,8/24/13,,,,
PR3P4V,1,68,497,46,6.52173913,2.173913043,67.64,0.041666667,0,0,0,Tuesday,RIC,0,3/30/12,6/6/12,9/10/12,,,,
L7BXRV,1,327,13,44,15.90909091,9.090909091,64.06,0,0,0,1,Wednesday,DCX,0,2/14/13,1/7/14,1/7/14,,,,
3BB43G,1,7,343,45,0,0,45.32,0,0,0,0,Wednesday,DCX,0,2/4/13,2/11/13,2/11/13,,,,
TJF7CB,1,0,211,29,96.55172414,0,33.94,0.142857143,1,0,0,Monday,RIC,0,6/2/13,6/2/13,6/23/13,,,,
7HVXPR,1,5,245,45,0,0,43.31,0.01986755,0,0,0,Tuesday,DCX,0,12/15/12,12/20/12,5/20/13,,,,
GBQ3UN,1,62,75,50,12,10,66.83,0.039880359,0,0,0,Tuesday,RIC,0,12/7/10,2/7/11,11/6/13,,,,
ZV3QY3,1,3,241,45,2.222222222,0,31.34,0,0,0,0,Tuesday,DCX,0,5/21/13,5/24/13,5/24/13,,,,
G764AC,1,0,484,45,0,0,30.56,0.054545455,0,0,0,Tuesday,CHO,0,7/30/12,7/30/12,9/23/12,,,,
TCN5JD,1,0,260,32,6.25,0,95.71,0,0,0,0,Monday,RIC,0,5/5/13,5/5/13,5/5/13,,,,
BMMHLP,1,174,796,44,31.81818182,2.272727273,19.26,0.007759457,0,0,0,Tuesday,BWI,0,7/29/08,1/19/09,11/16/11,,,,
9DHNAQ,1,528,211,45,0,0,29.08,0,0,0,0,Monday,RIC,0,1/12/12,6/23/13,6/23/13,,,,
VKWHFP,1,44,2,31,35.48387097,0,319.45,0.01242236,1,0,1,Wednesday,DCX,0,1/17/13,3/2/13,1/18/14,,,,
UDFUHQ,0,3,209,15,60,0,74.8,0.083333333,0,0,0,Tuesday,CHO,0,5/17/13,5/20/13,6/25/13,,,,
